VA Central Iowa Health Care System,515-699-5999,3600 30th St, Des Moines,IA,50310,,https://www.va.gov/central-iowa-health-care/,
Iowa City VA Health Care System,319-338-0581,601 US-6, Iowa City,IA,52246,,https://www.va.gov/iowa-city-health-care/,
Des Moines Regional Office,515-323-7464,210 Walnut St.,Des Moines,IA,50309,,https://www.benefits.va.gov/desmoines/,Assists Veterans and family members with disability compensation Benefits and PACT Act Information.
Community Resource and Referral Center - Cedar Rapids,,,Cedar Rapids,IA,,,https://www.va.gov/homeless/crrc.asp,Provides resources and referrals for veterans.
Community Resource and Referral Center - Davenport,,,Davenport,IA,,,https://www.va.gov/homeless/crrc.asp,Provides resources and referrals for veterans.
Community Resource and Referral Center - Des Moines,,,Des Moines,IA,,,https://www.va.gov/homeless/crrc.asp,Provides resources and referrals for veterans.
Cedar Rapids Vet Center,,,Cedar Rapids,IA,,,https://www.va.gov/cedar-rapids-vet-center/,Offers a wide range of services to help veterans transition from military to civilian life.
Sioux City Vet Center,,,Sioux City,IA,,,https://www.va.gov/sioux-city-vet-center/,Provides a broad spectrum of counseling
Des Moines Vet Center,,,West Des Moines,IA,,,https://www.va.gov/des-moines-vet-center/,Helps veterans and their families through many of the major adjustments in lifestyle that often occur after a veteran returns from combat.
Des Moines VA Regional Office,515-323-7464,210 Walnut St,Des Moines,IA,,,https://www.benefits.va.gov/desmoines/,www.benefits.va.gov/desmoines/
Cedar Rapids CBOC,319-378-6574,3500 Dalton Way,Cedar Rapids,IA,,,https://www.va.gov/iowa-city-health-care/locations/cedar-rapids-va-clinic/,
Iowa City VA Medical Center,319-338-0581,1200 E. River Dr.,Iowa City,IA,,,https://www.va.gov/iowa-city-health-care/,www.va.gov/IowaCity
Iowa Workforce Development - Des Moines,515-281-9619,400 E. Locust St.,Des Moines,IA,,,https://www.iowaworkforcedevelopment.gov/des-moines,www.iowaworkforcedevelopment.gov/des-moines
Iowa Workforce Development - Cedar Rapids,319-364-3492,400 1st Ave. NE,Cedar Rapids,IA,,,https://www.iowaworkforcedevelopment.gov/cedar-rapids,www.iowaworkforcedevelopment.gov/cedar-rapids
Iowa Workforce Development - Iowa City,319-338-4067,1200 E. River Dr.,Iowa City,IA,,,https://www.iowaworkforcedevelopment.gov/iowa-city,www.iowaworkforcedevelopment.gov/iowa-city
American Legion,(515) 282-1916,2200 Grand Ave, Des Moines,IA,50312,,http://www.legion.org/,
Disabled American Veterans,(515) 323-7539,801 E Grand Ave, Des Moines,IA,50309,,https://www.dav.org/,
Military Order of the Purple Heart,(515) 283-8380,1800 Grand Ave, Des Moines,IA,50312,,,
Iowa Department Veterans Affairs,(515) 252-4698,2220 NE 10th St, Johnston,IA,50131,,,
Quad City Veterans Outreach Center,(563) 529-4782,200 E 2nd St, Davenport,IA,52801,,,
United States Department of Veterans Affairs,(800) 827-1000,8100 NW 10th St, Des Moines,IA,50322,,,
Local Veterans Employment Representative (LVER),(515) 252-4698,2220 NE 10th St, Johnston,IA,50131,,,
Disabled Veterans Outreach Program Specialist (DVOP),(515) 252-4698,2220 NE 10th St, Johnston,IA,50131,,,
Quad Cities VA Clinic,563-332-8528,2826 West Locust Street, Davenport,IA,52804,,,
Drake Staffing & Search Groups,,3810 Ingersoll Ave, Des Moines, IA,,,https://www.yelp.com/biz/drake-staffing-and-search-groups-des-moines,No specific reviews or notes found.
AppleOne,,2700 Westown Pkwy, West Des Moines, IA,,,https://www.yelp.com/biz/appleone-west-des-moines-2,Had a question about a product. Luke handled my question with great proficiency. Told me about the different features of said product. Also the features of a similar product.
Pinnacle Staffing Group - Des Moines,,509 Elm St, Des Moines, IA,,,https://www.yelp.com/biz/pinnacle-staffing-group-des-moines-des-moines,No specific reviews or notes found.
Midwest Professional Staffing,,13375 University Ave, Clive, IA,,,https://www.yelp.com/biz/midwest-professional-staffing-clive,Since being here and looking for work I've found that Midwest Professional Staffing is one of the...
QPS Employment Group,,3629 Beaver Ave, Des Moines, IA,,,https://www.yelp.com/biz/qps-employment-group-des-moines,No specific reviews or notes found.
Raine Recruiting,,2929 Westown Pkwy, West Des Moines, IA,,,https://www.yelp.com/biz/raine-recruiting-west-des-moines,I have had nothing but trouble with this staffing agency. After accepting an interview with them...
Ankeny Temporary Services,,104 East First St, Ankeny, IA,,,https://www.yelp.com/biz/ankeny-temporary-services-ankeny,No specific reviews or notes found.
Central Iowa Employment & Training,,1208 E 2nd Ave, Indianola, IA,,,https://www.yelp.com/biz/central-iowa-employment-and-training-indianola,No specific reviews or notes found.
Insight Global,,666 Walnut St, Des Moines, IA,,,https://www.yelp.com/biz/insight-global-des-moines-3,Matt woke me up by cold calling twice at 6 am in Hawaii. They called from Des Moines so I blocked their number. They called before several months ago when I told them where to go. I...
DES Employment Group,,1300 Cummins Rd, Des Moines, IA,,,https://www.yelp.com/biz/des-employment-group-des-moines,We are completely committed to finding everyone a job that fits their needs!
American Legion,515-323-7532,Room 561,Des Moines,IA,,,http://www.legion.org/,
Disabled American Veterans,515-323-7539,Room 561,Des Moines,IA,,,https://www.dav.org/,
Iowa Department of Veterans Affairs,515-362-7350,Room 565,Des Moines,IA,,,https://www.benefits.va.gov/DesMoines/veterans-services-orgs.asp,
Paralyzed Veterans of America,515-323-7544,Room 563,Des Moines,IA,,,https://www.benefits.va.gov/DesMoines/veterans-services-orgs.asp,
Veterans of Foreign Wars,515-323-7545,Room 557,Des Moines,IA,,,https://www.benefits.va.gov/DesMoines/veterans-services-orgs.asp,
Vietnam Veterans of America,515-323-7549,Room 559,Des Moines,IA,,,https://www.benefits.va.gov/DesMoines/veterans-services-orgs.asp,
Iowa Workforce Development,N/A,N/A,Madison,IA,N/A,N/A,https://www.iowaworkforcedevelopment.gov/county/madison,N/A
Iowa Vocational Rehabilitation Services,N/A,N/A,Madison,IA,N/A,N/A,https://ivrs.iowa.gov/counties/madison,N/A
Iowa Department of Transportation,N/A,N/A,Madison,IA,N/A,N/A,https://iowadot.gov/mvd/iowa-dot-locations,N/A
Madison County Veterans Affairs,N/A,N/A,Madison,IA,N/A,N/A,https://madisoncounty.iowa.gov/offices/veterans-affairs/,N/A
Madison County Veterans Affairs,N/A,N/A,Madison,IA,N/A,N/A,https://madisoncounty.iowa.gov/offices/veterans-affairs/,N/A
VA Directory for Iowa,N/A,N/A,Madison,IA,N/A,N/A,https://www.va.gov/directory/guide/state.asp?dnum=ALL&STATE=IA,N/A
Madison County Veterans Affairs,N/A,N/A,Madison,IA,N/A,N/A,https://madisoncounty.iowa.gov/offices/veterans-affairs/,N/A
Madison County Housing Trust Fund,N/A,N/A,Madison,IA,N/A,N/A,https://www.houseiowa.org/madison,N/A
The Lord's Cupboard of Jefferson County,N/A,N/A,Madison,IA,N/A,N/A,https://fmpantry.com/,N/A
Madison Area Technical College,,,,,,,https://madisoncollege.edu/,
Iowa Workforce Development,,,O'Brien,IA,,,https://www.iowaworkforcedevelopment.gov/county/madison,
Iowa Vocational Rehabilitation Services,,,O'Brien,IA,,,https://ivrs.iowa.gov/counties/madison,
Iowa Department of Transportation,,,O'Brien,IA,,,https://iowadot.gov/mvd/iowa-dot-locations,
O'Brien County Veterans Affairs,,,O'Brien,IA,,,https://obriencounty.iowa.gov/departments/veterans-affairs/,
O'Brien County Veterans Affairs,,,O'Brien,IA,,,https://obriencounty.iowa.gov/departments/veterans-affairs/,
O'Brien County Veterans Affairs,,,O'Brien,IA,,,https://obriencounty.iowa.gov/departments/veterans-affairs/,
O'Brien County Veterans Affairs,,,O'Brien,IA,,,https://obriencounty.iowa.gov/departments/veterans-affairs/,
O'Brien County Housing Trust Fund,,,O'Brien,IA,,,https://www.houseiowa.org/o-brien,
Food Bank of Iowa,,,O'Brien,IA,,,https://foodbankiowa.org/locations/mobile-pantry-obrien-county-paullina/,
O'Brien County Employment,,,O'Brien,IA,,,https://www.obriencounty.com/business/employment,
O'Brien County Schools and Colleges,,,O'Brien,IA,,,https://www.obriencounty.com/education/schools-and-colleges,
Iowa Workforce Development,,,Sac,IA,,,https://www.iowaworkforcedevelopment.gov/county/madison,
Iowa Vocational Rehabilitation Services,,,Sac,IA,,,https://ivrs.iowa.gov/counties/madison,
Iowa Department of Transportation,,,Sac,IA,,,https://iowadot.gov/mvd/iowa-dot-locations,
Sac County Veterans Affairs,,,Sac,IA,,,https://www.saccountyiowa.gov/veteran-affairs.html,
Iowa County Veteran Service Offices,,,Sac,IA,,,https://dva.iowa.gov/county-veteran-service-offices,
Sacramento VA Medical Center,,,Sac,IA,,,https://www.va.gov/northern-california-health-care/locations/sacramento-va-medical-center/,
Sac County Veterans Affairs,,,Sac,IA,,,https://www.saccountyiowa.gov/veteran-affairs.html,
Business Name,Phone Number,Address,City,State,Zip Code,Email,Website,Notes
Iowa Workforce Development,,,,Washington,IA,,https://www.iowaworkforcedevelopment.gov/county/washington,
Iowa Vocational Rehabilitation Services,,,,Washington,IA,,https://www.iowaworkforcedevelopment.gov/county/washington,
Iowa Department of Transportation,,,,Washington,IA,,https://www.iowadot.gov/mvd/iowa-dot-locations,
Washington County Veterans Affairs,,,,Washington,IA,,https://washingtoncounty.iowa.gov/181/Veterans-Affairs,
Washington County Housing Trust Fund,,,,Washington,IA,,https://www.houseiowa.org/washington,
Food Bank of Iowa,,,,Washington,IA,,https://www.foodpantries.org/ci/ia-washington
Yelp Search for Employment Agencies in Washington, IA,,,,Washington,IA,,https://www.yelp.com/search?find_desc=Staffing+Agencies&find_loc=Washington%2C+IA+52353
Colleges near Washington, Iowa,,,,Washington,IA,,https://www.collegesimply.com/colleges-near/iowa/washington/
Iowa Workforce Development,,,,Wayne,IA,,https://www.iowaworkforcedevelopment.gov/county/wayne
Iowa Vocational Rehabilitation Services,,,,Wayne,IA,,https://www.iowaworkforcedevelopment.gov/county/wayne
Iowa Department of Transportation,,,,Wayne,IA,,https://www.iowadot.gov/mvd/iowa-dot-locations
Wayne County Veterans Affairs,,,,Wayne,IA,,https://www.waynecountyveteransaffairs.com/
Wayne County Housing Trust Fund,,,,Wayne,IA,,https://www.houseiowa.org/wayne
Food Bank of Iowa,,,,Wayne,IA,,https://www.foodpantries.org/ci/ia-wayne
Yelp Search for Employment Agencies in Wayne, IA,,,,Wayne,IA,,https://www.yelp.com/search?find_desc=Staffing+Agencies&find_loc=Wayne%2C+IA+52649
Colleges near Wayne, Iowa,,,,Wayne,IA,,https://www.collegesimply.com/colleges-near/iowa/wayne/
